user,from_geo,to_geo,from_timestamp,to_timestamp,distance_km,hours_between,speed_kmh
user_001,SG,GB,2026-01-06 16:19:29.894934,2026-01-06 18:40:11.894934,10908.5,2.35,4651.8
user_001,DE,IN,2026-01-06 20:12:01.894934,2026-01-06 22:07:49.894934,6751.1,1.93,3498.0
user_001,CA,DE,2026-01-07 08:46:33.894934,2026-01-07 09:08:25.894934,6746.3,0.36,18511.1
user_001,GB,SG,2026-01-07 09:14:24.894934,2026-01-07 10:56:17.894934,10908.5,1.7,6424.1
user_001,CA,GB,2026-01-07 16:16:17.894934,2026-01-07 17:38:49.894934,5983.0,1.38,4349.5
user_001,GB,AU,2026-01-07 17:38:49.894934,2026-01-07 20:01:35.894934,15190.5,2.38,6384.0
user_001,AU,CA,2026-01-07 20:01:35.894934,2026-01-07 20:09:26.894934,14155.8,0.13,108197.2
user_001,CA,DE,2026-01-07 20:09:26.894934,2026-01-07 20:27:57.894934,6746.3,0.31,21860.1
user_001,DE,US,2026-01-08 03:31:10.894934,2026-01-08 05:16:22.894934,7850.4,1.75,4477.4
user_001,SG,IN,2026-01-08 11:02:51.894934,2026-01-08 11:29:05.894934,3447.9,0.44,7885.8
user_001,IN,US,2026-01-08 11:29:05.894934,2026-01-08 12:02:07.894934,13485.0,0.55,24493.4
user_001,US,DE,2026-01-08 12:02:07.894934,2026-01-08 12:56:05.894934,7850.4,0.9,8728.1
user_001,DE,SG,2026-01-08 12:56:05.894934,2026-01-08 14:24:25.894934,10127.3,1.47,6878.9
user_001,SG,AU,2026-01-08 17:01:01.894934,2026-01-08 21:14:02.894934,4381.7,4.22,1039.1
user_001,AU,SG,2026-01-08 21:14:02.894934,2026-01-09 02:00:15.894934,4381.7,4.77,918.5
user_001,IN,DE,2026-01-09 09:23:28.894934,2026-01-09 09:49:52.894934,6751.1,0.44,15343.4
user_001,DE,IN,2026-01-09 09:49:52.894934,2026-01-09 12:59:40.894934,6751.1,3.16,2134.2
user_001,IN,AU,2026-01-09 13:00:26.894934,2026-01-09 13:33:54.894934,7822.7,0.56,14024.8
user_001,AU,DE,2026-01-09 13:33:54.894934,2026-01-09 16:45:24.894934,14473.0,3.19,4534.6
user_001,DE,AU,2026-01-09 16:45:24.894934,2026-01-09 17:52:18.894934,14473.0,1.11,12980.2
user_001,AU,DE,2026-01-09 17:52:18.894934,2026-01-09 18:18:12.894934,14473.0,0.43,33528.1
user_001,DE,AU,2026-01-09 18:18:12.894934,2026-01-09 21:34:11.894934,14473.0,3.27,4430.9
user_001,AU,GB,2026-01-09 21:34:11.894934,2026-01-10 00:12:18.894934,15190.5,2.64,5764.3
user_001,GB,SG,2026-01-10 04:38:19.894934,2026-01-10 05:05:43.894934,10908.5,0.46,23887.1
user_001,SG,CA,2026-01-10 05:05:43.894934,2026-01-10 06:33:02.894934,13073.3,1.46,8983.4
user_001,CA,IN,2026-01-10 06:33:02.894934,2026-01-10 08:51:47.894934,11472.4,2.31,4961.0
user_001,IN,SG,2026-01-10 08:51:47.894934,2026-01-10 10:50:33.894934,3447.9,1.98,1741.8
user_001,SG,DE,2026-01-10 10:50:33.894934,2026-01-10 14:53:08.894934,10127.3,4.04,2504.9
user_001,US,AU,2026-01-11 00:31:22.894934,2026-01-11 03:24:33.894934,15068.1,2.89,5220.4
user_001,AU,GB,2026-01-11 03:24:33.894934,2026-01-11 03:30:18.894934,15190.5,0.1,158509.4
user_001,GB,AU,2026-01-11 03:38:33.894934,2026-01-11 03:42:02.894934,15190.5,0.06,261654.3
